,ALE
2553,76.0
1063,75.4
156,72.9
2046,77.5
1919,75.6
3105,78.5
2274,77.1
860,78.4
2538,75.2
1511,75.6
725,76.8
2714,74.7
2845,74.6
1234,75.3
2056,75.5
1431,72.5
1567,76.3
2436,75.1
2653,78.3
882,80.8
1081,75.3
2401,77.0
1425,72.1
39,74.3
1844,77.8
527,73.9
557,77.3
2255,79.4
698,77.0
1771,77.3
1140,74.1
994,74.7
1626,76.1
916,74.3
1685,77.4
1929,73.5
2860,76.9
1047,76.1
289,81.3
2795,77.9
2077,74.8
1906,77.3
1266,76.5
377,78.3
3087,76.7
2630,76.6
155,71.6
373,76.8
42,71.7
2879,76.9
2556,75.7
2340,74.7
2108,77.5
2717,75.9
1975,78.2
1071,74.2
349,73.8
2747,78.2
1872,77.9
375,79.6
715,75.1
3127,77.7
2931,76.3
94,73.9
337,74.8
368,76.7
2528,77.0
408,73.3
2207,80.9
2452,73.4
1105,75.8
902,78.2
2351,72.8
1445,72.2
1429,73.9
1853,78.2
67,76.9
2096,76.6
2526,76.0
281,77.5
2072,78.1
2167,74.1
1128,73.0
322,77.9
874,77.7
2267,75.8
664,77.2
750,77.0
2098,76.6
1086,74.2
2153,74.1
2720,76.0
2281,76.0
837,78.9
1895,73.2
2273,77.2
3070,78.0
2287,78.8
2732,76.0
1979,78.1
2414,78.5
119,75.0
172,74.5
2156,74.8
2569,76.3
692,75.5
1257,77.1
2626,75.9
1165,74.6
3091,79.9
2312,77.7
1104,75.9
1744,79.2
124,75.3
1603,76.8
1240,76.8
2917,78.1
2832,75.3
3015,76.3
2469,74.0
3099,77.1
260,80.3
752,75.7
2577,76.3
1967,75.3
803,77.8
1176,77.0
1255,76.9
1533,75.6
2660,76.5
2104,75.2
1655,76.4
2451,75.9
53,73.5
2010,78.3
405,72.2
1601,77.5
248,78.5
2044,75.8
1271,74.6
1875,78.0
1996,79.1
1465,71.1
1615,77.8
1001,75.3
2874,76.6
2936,74.7
2409,79.2
2332,74.7
296,78.5
2146,74.5
971,77.9
693,76.8
614,79.6
481,75.0
843,79.3
891,76.4
2947,74.2
419,73.4
1715,77.0
2007,78.3
1030,76.1
1229,77.1
2515,75.5
1684,77.7
811,78.7
1901,75.8
870,81.3
1806,75.0
735,77.6
2005,78.9
1263,77.1
496,76.4
558,77.6
2841,76.1
2100,75.8
1177,78.3
2410,77.6
2406,66.6
1241,74.8
1296,77.1
2778,79.0
669,75.5
1786,77.8
2305,76.5
