,ALE
986,78.7
1510,75.3
2829,77.8
2169,74.9
1690,78.3
3075,77.2
1198,76.6
2341,74.9
2176,74.6
2453,75.4
1125,73.5
1141,76.7
2099,77.2
2327,74.0
2762,75.2
2148,74.7
1411,73.6
512,72.3
1534,76.2
2950,79.9
431,74.8
909,78.2
1819,79.6
2117,76.9
1611,79.3
131,77.3
1231,77.2
1662,77.4
1185,76.5
2698,76.3
3039,75.8
738,78.5
2082,76.8
2142,77.6
658,77.5
2951,75.2
1095,75.9
2179,74.2
93,76.9
2798,76.3
2428,74.0
259,74.8
2275,76.7
1394,78.9
61,73.9
1087,72.4
1711,78.7
566,79.1
1180,77.2
975,78.3
2306,77.6
737,77.1
3121,77.4
2724,75.2
1962,78.0
2925,74.4
1142,74.7
1175,77.2
587,77.8
357,78.2
1132,74.1
1486,76.4
2280,77.8
2701,73.7
2817,79.0
2809,76.9
554,77.2
2934,77.4
2978,77.0
1103,74.5
1727,78.7
2894,78.0
148,74.4
355,76.8
288,80.8
1792,78.0
1083,77.4
510,73.5
187,76.5
3000,73.7
78,76.9
2252,77.0
1529,75.5
3111,77.0
2971,77.3
3078,78.0
640,77.5
217,77.2
1661,79.4
1961,74.7
2232,80.9
2442,73.4
1588,75.3
1174,73.4
1211,77.1
1823,77.4
1797,78.4
2669,77.1
23,72.1
1909,75.8
161,75.2
1636,77.8
591,77.3
2369,74.6
519,73.8
740,76.2
2745,75.7
998,77.0
1549,76.5
2036,78.9
2337,74.6
1260,77.4
2069,77.8
1924,74.8
929,77.0
1116,74.3
1353,79.4
2957,78.0
1861,77.4
498,74.7
1368,78.3
2193,74.3
1808,79.6
982,78.1
1868,77.0
3024,74.4
1663,78.9
1720,76.9
3109,77.7
1070,72.2
2928,75.6
2313,79.1
3004,76.1
877,78.8
1970,72.2
722,76.4
697,76.4
2529,76.5
799,79.2
2939,69.6
1488,75.3
2023,77.2
3131,77.4
1217,77.8
3006,76.1
842,76.7
2700,77.3
125,74.6
1886,77.9
416,73.1
2021,77.2
346,74.8
1824,78.4
619,76.9
1524,77.8
1999,77.2
3009,75.5
1781,79.5
1446,74.4
1739,78.3
1067,73.8
859,77.0
856,78.4
895,75.6
584,77.8
134,74.8
815,78.6
2580,75.0
1281,76.6
2040,78.4
2411,74.6
2381,77.0
2372,78.3
781,77.4
2948,77.8
2114,76.9
1801,75.2
1472,73.4
1251,78.6
2561,76.0
1316,77.4
2755,76.7
2234,77.1
597,78.8
264,76.4
2665,74.4
887,76.7
1346,78.1
300,77.9
3140,77.4
2837,74.8
963,77.6
743,74.5
96,78.5
2872,74.8
2921,72.7
1717,77.0
677,78.8
2834,74.6
1315,76.5
1519,76.7
729,77.2
2532,75.6
1291,78.2
58,76.8
1954,75.2
2550,76.2
1376,79.1
867,78.5
2415,66.6
518,72.8
2294,76.9
1112,74.8
1546,75.8
2358,72.3
1389,78.7
596,78.1
90,76.9
468,75.8
2589,76.8
69,76.9
1288,75.8
1400,73.8
126,71.1
2820,76.1
2217,76.6
897,78.1
2053,76.1
1846,77.2
1305,76.6
1856,78.0
1325,79.2
2658,77.0
3057,78.5
701,76.7
3014,70.4
2838,77.5
2300,77.5
1697,78.4
1457,75.9
2257,76.3
3061,76.7
1466,71.2
1403,73.6
2572,75.3
330,77.6
2599,78.9
91,76.9
2974,76.4
104,77.3
2400,78.5
2365,78.1
1520,76.7
2743,76.8
953,78.2
1084,75.0
934,78.2
661,76.6
1120,74.3
894,78.4
2325,73.8
1616,76.9
785,77.3
2201,77.7
1170,73.8
2150,75.9
1262,77.2
1930,74.9
2942,75.2
230,77.1
861,78.5
1223,79.3
2960,79.6
602,78.4
920,77.8
1489,74.9
1677,79.0
2343,74.4
1435,75.8
1719,77.5
219,76.0
830,78.9
2301,78.8
2722,73.1
1398,79.5
166,76.1
1092,73.6
2671,75.5
225,79.8
1632,74.4
898,78.2
1779,76.7
2696,74.6
1407,73.6
931,80.3
913,77.5
3122,77.4
477,76.2
939,76.7
2833,76.7
1366,80.7
1799,77.0
2554,73.5
199,76.6
556,80.8
108,80.9
2074,75.7
1359,77.5
543,73.8
414,72.3
2086,76.3
1949,75.6
1513,75.8
3032,75.4
1891,73.3
1420,71.9
1323,79.1
2627,74.5
1894,74.2
1650,77.5
923,76.6
1463,73.9
767,76.3
3138,78.2
2624,77.0
2081,75.0
515,73.4
2508,76.4
987,77.9
2759,76.6
2753,76.9
2429,74.2
625,74.5
2288,77.4
1795,76.0
1157,75.6
2506,74.0
1755,75.5
3012,72.6
1226,77.6
2130,75.9
2656,76.8
2251,77.9
1802,76.6
3132,77.8
1694,77.7
3120,76.4
694,78.8
852,79.2
1480,72.3
637,77.8
2989,80.1
1544,75.9
176,74.6
940,77.9
2725,75.5
2228,78.1
899,77.3
170,71.7
48,73.5
2008,76.7
390,75.3
1722,79.2
84,76.9
17,73.0
2877,77.8
2895,76.3
2855,75.1
1734,78.3
220,78.6
1387,79.4
1973,75.9
287,77.1
2785,79.4
2245,77.1
2913,78.1
2380,78.8
40,75.3
695,78.8
2914,77.5
3044,76.0
2943,71.1
2182,74.4
511,74.3
791,79.1
2494,74.0
1184,76.6
687,77.3
1502,77.5
1741,77.4
3130,76.6
1608,77.5
1417,71.9
1149,73.9
1704,76.4
727,75.8
151,75.0
1540,75.3
2054,76.3
526,73.8
1032,75.3
463,74.6
1936,75.9
2417,78.0
163,75.0
114,73.3
1574,77.3
1134,73.2
83,76.9
1388,79.7
873,77.8
247,75.7
869,78.9
821,78.4
904,75.9
919,76.6
3077,78.1
62,75.0
555,80.8
