,State_FIPS_Code,County_FIPS_Code,Population_Size,LBW,Premature,Under_18,Over_40,Late_Care,MVA,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,High_Blood_Pres,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate
3067,55,43,49671,4.9,8.9,2.3,1.7,20.2,22.7,8.1,5206,1162,980,3259,2982,1488248,78.4,-1111.1,-1111.1,-1111.1,-1111.1,26.0,83.4,31.8,9.1,4486,8463,884,48.3,44.3
3001,54,21,6950,6.9,10.8,2.1,0.7,11.1,24.3,18.5,1351,135,329,540,370,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.6,1166,1063,304,43.2,14.4
3082,55,73,128941,6.5,9.6,2.1,2.0,21.6,19.1,10.1,14089,3099,3335,8264,6647,2466855,83.0,79.8,56.9,-1111.1,73.5,18.7,75.6,22.6,5.6,9353,15557,1950,90.0,51.2
1347,27,71,13907,5.8,8.3,3.3,1.7,16.4,19.8,9.9,1797,429,251,794,728,386901,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,30.4,82.9,-1111.1,8.4,1628,2653,409,71.9,43.1
643,17,101,15930,7.2,10.6,5.4,0.9,12.3,33.7,11.9,2102,427,469,907,961,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1560,2781,458,43.9,25.1
386,13,3,8030,8.4,11.3,9.7,1.0,24.0,31.5,14.8,2096,202,229,446,398,394309,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.1,1894,799,277,12.5,12.5
1614,30,37,1159,6.3,-1111.1,-1111.1,-1111.1,29.6,-1111.1,-1111.1,230,23,36,83,58,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,258,175,31,0.0,0.0
774,18,159,16385,6.8,9.7,3.4,0.9,14.3,18.4,7.9,1815,463,334,1117,691,41593,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,24.2,-1111.1,-1111.1,8.4,1407,2213,277,54.9,30.5
2990,53,77,231586,6.2,11.3,6.1,1.7,-2222.2,17.4,12.6,42868,9033,4776,12735,15067,307739,75.4,79.3,41.8,59.8,67.5,23.8,79.1,27.0,7.9,52004,24466,4243,79.9,33.7
1921,37,67,325967,9.7,14.7,4.4,2.1,10.0,12.9,10.2,38753,7957,8106,18757,21510,907002,89.0,85.8,57.8,67.3,69.3,21.6,73.9,29.1,7.1,40769,40806,7028,148.8,45.1
834,19,95,16055,6.6,9.9,1.4,2.1,9.7,26.2,10.7,1437,418,260,911,576,2440,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,31.9,76.6,25.1,8.2,685,2623,225,37.4,24.9
1127,22,33,411417,11.5,15.4,4.8,1.9,17.6,20.3,10.0,40466,14845,11691,21571,24108,9502346,87.1,87.1,45.6,69.9,69.6,27.7,82.5,27.2,6.1,61422,40060,7136,113.3,57.1
864,19,155,89738,7.7,13.0,4.1,1.4,15.7,15.9,13.2,9697,2624,1993,5041,3258,3335713,80.7,79.3,37.3,65.4,75.7,26.3,82.5,28.0,8.3,8821,12089,2177,51.3,34.5
560,16,23,2808,8.7,14.0,3.1,1.9,19.9,58.9,-1111.1,315,61,100,175,116,1136337,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,26.7,-1111.1,-1111.1,10.3,570,466,84,35.6,0.0
2324,45,21,53844,11.0,17.6,8.0,0.8,18.1,23.2,13.2,11890,2034,2036,3119,2535,327772,76.1,-1111.1,37.9,-1111.1,-1111.1,36.9,81.3,30.4,8.4,7881,5797,2036,42.7,14.9
1164,22,107,6125,9.3,16.4,9.6,1.1,30.9,20.2,-1111.1,1424,316,290,326,347,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4.9,1711,937,151,16.3,0.0
28,1,57,18228,8.7,13.4,8.1,0.7,11.7,36.4,12.0,4298,315,931,1049,862,71686,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,12.7,2358,2544,731,60.3,16.5
1426,28,55,1909,10.5,14.2,10.5,-1111.1,27.6,49.4,-1111.1,508,104,82,115,98,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,589,111,49,0.0,0.0
709,18,29,49082,7.9,12.9,3.1,2.3,7.2,21.5,11.6,5842,1479,1298,3267,2093,4516227,89.3,-1111.1,-1111.1,-1111.1,-1111.1,28.5,78.5,23.9,4.7,3519,5525,1038,55.0,18.3
2536,48,31,9110,6.8,10.3,3.8,2.8,19.9,41.4,23.1,1202,181,205,494,385,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1400,2755,244,32.9,32.9
323,12,11,1777638,8.6,12.9,2.6,3.6,13.1,12.9,13.3,215578,35063,56494,93982,90741,1029246,82.0,81.6,44.9,60.7,56.8,25.8,70.3,24.8,7.1,264560,217263,27629,75.5,43.0
312,9,13,147634,6.4,9.2,0.9,3.7,9.0,8.4,6.5,10162,3374,2492,10524,11261,53392,85.9,86.1,53.7,64.1,68.4,17.8,73.3,20.2,4.2,11139,14365,1910,69.1,42.7
177,5,137,11716,6.3,11.2,6.1,0.8,29.7,39.7,11.5,2672,276,520,784,639,20,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,29.4,76.7,-1111.1,9.0,2380,2097,602,42.7,17.1
1953,37,131,21483,12.2,17.2,8.4,1.4,16.5,35.9,9.7,5527,619,886,1267,1417,161799,-1111.1,90.9,-1111.1,-1111.1,-1111.1,34.0,-1111.1,-1111.1,14.9,3466,3664,1181,18.6,14.0
1593,29,227,2174,4.6,8.3,5.4,-1111.1,13.3,-1111.1,-1111.1,302,47,40,149,104,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,345,505,64,46.0,0.0
1828,36,5,1357589,9.3,12.5,4.5,2.9,22.7,5.3,5.8,310237,37636,82567,70567,79134,765,87.9,85.4,39.3,50.8,58.7,35.5,73.8,24.5,9.2,297330,123073,26592,101.5,28.2
2562,48,83,8665,7.8,13.1,8.7,0.8,16.5,29.4,15.5,1728,204,232,472,355,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1849,1983,244,34.6,23.1
610,17,35,10973,7.2,10.5,4.8,1.6,11.7,18.7,12.5,1463,299,256,597,653,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1105,1590,230,9.1,9.1
2315,45,3,150181,9.4,13.1,5.2,1.6,21.3,23.2,14.7,22326,4491,4408,8806,7220,1705257,87.0,80.0,50.1,64.2,69.1,25.3,77.2,35.0,10.9,21695,18339,3796,45.9,36.0
1000,21,19,49594,9.4,15.4,3.9,0.8,9.4,17.5,9.9,7699,1399,3035,3344,2686,1532843,78.9,64.7,39.9,58.5,67.8,37.6,79.9,35.9,9.6,6377,8124,2279,127.0,66.5
1674,31,45,8636,5.5,8.5,2.5,1.1,20.2,20.6,17.4,642,151,124,534,443,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,17.5,84.0,20.5,8.3,1397,1379,158,81.1,57.9
1248,26,39,15074,7.5,11.2,6.4,2.3,15.2,14.0,20.0,2028,461,413,883,953,37038,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.3,1973,2047,446,59.7,33.2
2920,51,580,6205,7.2,11.0,5.2,1.8,13.8,14.1,-1111.1,1263,159,273,359,272,4347425,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,727,2461,596,80.6,48.3
2916,51,530,6437,5.7,7.8,5.1,1.3,20.2,20.5,-1111.1,1308,114,117,366,325,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,585,1229,299,46.6,77.7
182,5,147,8098,9.2,13.7,11.6,0.3,21.3,40.8,10.7,2162,309,287,518,438,129631,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1711,1342,363,49.4,24.7
549,16,1,344727,6.3,10.9,1.7,1.9,11.1,12.5,14.8,20528,5895,9714,21824,14631,231432,81.4,78.7,45.0,66.3,69.1,15.5,77.0,21.6,5.1,36577,29613,4398,98.3,48.2
683,17,181,18202,6.6,10.6,4.3,1.7,12.8,25.3,12.5,3185,542,535,1014,1077,500,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.0,2337,2887,690,87.9,27.5
1712,31,121,8066,6.4,10.1,2.0,2.5,17.3,33.0,-1111.1,804,160,125,488,296,31993,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,37.1,81.8,-1111.1,9.4,1120,1363,152,37.2,49.6
338,12,43,11252,7.5,10.9,7.8,1.6,26.6,53.0,15.6,2446,214,350,635,600,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,96.4,-1111.1,6.9,1872,854,142,0.0,0.0
1423,28,49,249345,14.3,21.7,6.4,1.5,18.5,23.2,9.7,30085,8794,6501,14115,11863,784617,86.4,81.7,46.6,59.1,59.1,31.9,81.5,29.7,9.2,40347,25839,7170,118.7,68.2
2810,50,13,7703,8.0,11.0,2.4,3.1,10.9,27.1,-1111.1,870,211,170,494,688,-2222,84.4,76.3,56.6,-1111.1,-1111.1,18.4,69.2,26.9,4.2,598,919,143,51.9,13.0
1605,30,19,1836,4.3,9.3,-1111.1,3.1,15.5,-1111.1,-1111.1,200,28,41,141,90,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,82.5,-1111.1,10.3,361,463,27,0.0,0.0
1485,29,9,35599,7.7,13.3,5.5,1.3,17.9,35.3,15.9,5789,855,961,2321,1651,208090,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,25.0,80.7,-1111.1,11.5,6158,5828,1128,61.8,22.5
2202,40,147,49149,6.0,11.5,4.5,1.7,12.7,18.6,14.5,4951,1019,1180,3051,2189,692377,78.6,79.5,33.8,73.1,80.8,29.6,77.9,33.8,9.9,7160,8774,1121,48.8,36.6
488,13,211,17492,8.8,12.8,6.5,1.0,15.0,30.2,12.1,3032,396,560,1058,888,47613,86.5,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3.7,2038,2005,431,34.3,22.9
3027,54,73,7376,6.5,12.4,4.3,0.4,18.1,14.4,14.2,1078,201,381,551,302,7287516,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6.9,766,1122,241,27.1,67.8
1203,24,27,269457,7.6,11.0,1.0,4.7,5.4,5.0,6.9,12092,4602,5382,13878,13950,5079,90.4,89.4,55.3,64.4,77.5,15.5,73.5,19.8,4.5,27881,16192,1726,214.5,63.8
1859,36,67,458053,8.0,11.8,3.7,3.1,17.0,8.3,6.3,42799,10706,9009,25515,27469,3470508,85.4,87.4,55.6,79.2,75.2,22.5,72.3,26.4,6.4,46025,62150,11059,141.0,59.4
169,5,121,18465,7.3,11.1,5.6,0.7,16.2,31.5,16.8,3868,582,659,1208,1049,40587,70.7,-1111.1,-1111.1,-1111.1,-1111.1,40.3,83.6,-1111.1,6.5,2858,2834,726,59.6,32.5
1761,32,510,56062,7.9,11.9,4.7,2.4,17.3,17.2,25.9,6650,1264,1295,4224,3414,7054,77.3,76.2,43.4,71.9,70.2,25.9,77.1,20.7,5.8,6904,9467,1129,94.5,39.2
1219,25,9,738301,7.2,10.5,2.3,4.0,10.2,6.8,6.4,76453,19494,17805,43283,66171,1305474,87.5,85.9,51.8,63.0,71.6,23.9,70.2,23.8,6.1,74495,95172,16174,80.0,60.7
2393,46,69,1614,5.6,9.0,-1111.1,-1111.1,13.0,-1111.1,-1111.1,217,33,30,91,53,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,258,341,18,0.0,62.0
362,12,89,64746,8.0,12.6,4.5,1.5,9.3,28.0,12.9,8444,1083,1924,3495,3379,4144711,89.0,-1111.1,-1111.1,-1111.1,-1111.1,24.5,73.7,-1111.1,9.8,6260,7843,1497,43.2,21.6
1197,24,15,97796,8.6,13.4,3.7,1.9,7.8,27.4,12.7,12108,2231,2792,5141,5245,58906,83.5,85.2,42.4,65.4,63.7,27.0,73.4,26.0,6.4,10374,9173,2025,31.7,27.6
1145,22,69,38541,10.9,16.7,7.2,1.1,20.1,26.1,12.9,6133,1229,1168,1998,2359,1560336,86.7,-1111.1,-1111.1,-1111.1,-1111.1,34.8,82.7,28.1,8.9,6678,4537,959,51.9,23.4
2382,46,47,7355,7.2,10.3,7.8,2.0,28.4,30.8,26.2,921,157,336,434,257,-2222,76.4,73.0,33.8,67.4,67.0,22.8,77.9,34.4,10.9,1097,1643,365,95.2,54.4
979,20,187,2245,6.9,10.1,3.9,2.2,21.1,63.9,-1111.1,316,39,34,134,107,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,451,344,27,44.5,0.0
1393,27,163,220426,5.6,9.5,1.1,3.3,7.9,7.4,8.3,8532,4352,2919,11690,11875,2426894,86.7,87.6,63.3,74.7,79.6,15.1,73.9,22.2,4.6,15546,12217,1596,111.6,45.8
685,17,185,12570,8.1,10.8,4.4,1.4,12.4,17.4,-1111.1,1545,382,208,697,747,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1228,2032,271,23.9,23.9
1814,35,39,40828,9.1,11.7,7.4,1.7,34.1,52.2,28.1,7048,1373,1105,2518,2464,-2222,89.2,75.9,37.4,51.9,57.8,28.3,78.9,16.8,7.7,10402,4385,1266,49.0,22.0
1310,26,163,1998217,10.3,14.3,4.4,2.1,21.3,12.5,10.3,293233,79051,67421,107439,121927,32415967,84.7,79.4,48.4,57.3,58.8,27.9,78.4,30.3,9.8,292034,232760,54933,85.6,47.9
3119,56,3,11333,6.5,10.6,5.1,2.1,17.5,32.9,21.9,1254,243,292,803,525,17941,73.0,69.3,27.3,61.1,63.2,23.7,80.6,31.1,6.5,2036,1811,244,35.3,44.1
1754,32,19,47515,7.2,11.0,4.6,2.2,19.5,30.2,24.5,5828,1065,1498,3547,2999,277216,73.1,69.4,37.3,68.2,63.0,24.7,83.9,34.5,7.9,5474,5794,932,23.2,10.5
358,12,83,303442,8.2,12.6,5.1,2.0,24.4,32.0,17.1,47158,4452,13640,16858,15722,181644,80.8,80.5,46.5,59.5,56.6,26.1,76.1,35.0,9.4,41468,63902,8769,48.8,25.4
2221,41,31,20100,6.4,12.3,8.2,1.5,33.1,53.9,22.7,2974,556,671,1389,1469,131919,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,26.8,76.4,27.2,10.4,3984,2906,357,34.8,29.9
2673,48,305,6237,7.7,13.4,9.5,0.8,21.7,29.0,16.3,1438,176,116,314,272,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1520,891,116,32.1,32.1
1399,28,1,32099,14.1,18.8,7.0,1.1,20.4,27.6,12.2,5686,1346,1180,1877,1422,0,80.5,70.3,36.1,-1111.1,-1111.1,30.1,80.5,47.1,12.2,6579,5096,1238,102.8,46.7
910,20,49,3075,9.6,12.9,5.0,1.8,12.9,48.3,-1111.1,448,79,86,206,151,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.8,625,690,91,0.0,0.0
844,19,115,11842,5.5,10.4,4.8,1.2,15.3,27.2,12.4,1634,308,234,658,412,2304229,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,28.6,84.0,-1111.1,6.9,1430,1674,211,8.4,16.9
1842,36,33,51033,8.5,11.9,2.7,1.7,12.3,14.7,13.9,10761,1333,1539,3014,3167,6929,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,23.0,-1111.1,-1111.1,9.9,6551,6161,1746,74.5,33.3
1397,27,171,110730,5.3,9.9,1.3,2.0,7.9,15.5,7.6,8230,2558,1362,5789,6125,7580,92.9,86.2,50.8,-1111.1,-1111.1,16.9,79.9,25.6,2.9,6859,8838,1295,46.1,25.3
2140,40,23,15297,7.5,13.5,8.9,0.7,28.6,37.3,17.3,3160,367,596,929,673,489676,82.3,-1111.1,-1111.1,-1111.1,-1111.1,35.9,81.4,32.5,7.6,3523,2627,692,19.6,26.1
1478,28,159,19870,9.8,14.8,9.9,0.9,27.0,36.4,14.0,4191,655,722,1168,900,235363,82.5,-1111.1,-1111.1,-1111.1,-1111.1,34.3,-1111.1,-1111.1,9.5,3244,2797,682,25.2,20.1
2463,47,75,19656,10.1,15.8,9.7,0.9,25.8,40.1,10.8,4409,781,771,1206,1008,80609,85.9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.1,3553,2245,591,50.9,40.7
2190,40,123,35346,8.3,13.4,5.1,1.3,20.3,27.3,18.7,4943,814,1254,2157,1670,133317,81.4,72.8,36.6,71.5,80.7,30.0,88.5,35.2,7.1,6129,5168,1195,73.6,39.6
1691,31,79,55104,7.2,12.1,4.6,1.2,26.1,16.6,8.6,6376,1165,1165,3220,1986,102723,78.9,75.6,26.8,65.6,68.3,27.5,82.9,23.6,6.3,7183,7167,1073,74.4,54.4
118,5,19,22916,7.9,12.6,4.9,1.1,30.2,28.8,10.0,3384,631,687,1490,1575,156327,70.9,-1111.1,-1111.1,-1111.1,-1111.1,30.0,75.0,27.3,6.3,3575,3342,669,61.1,52.4
705,18,21,27142,6.8,12.0,3.8,1.5,16.5,21.8,15.5,3169,917,733,1817,1172,18882,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,33.1,80.6,-1111.1,9.8,2847,4309,692,51.6,14.7
243,8,3,15282,11.2,13.5,6.6,1.7,20.0,24.8,20.5,1504,458,314,1036,1352,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,19.3,83.9,19.0,5.5,3261,1406,367,78.5,52.3
2982,53,61,655944,5.7,9.7,2.0,2.8,-2222.2,11.3,12.3,46474,17700,17341,38715,42510,744825,81.3,80.4,48.0,66.7,73.0,17.1,78.8,23.0,5.5,77451,56568,9092,55.5,42.5
1573,29,185,9686,6.5,10.8,5.9,0.6,17.7,53.3,15.3,1880,251,300,668,443,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1623,1775,409,72.3,20.6
1235,26,13,8746,5.3,9.3,5.2,2.9,16.2,23.1,13.9,1198,451,252,516,547,6710,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,857,1406,286,57.2,34.3
2764,48,487,13896,7.5,10.6,10.9,0.8,19.2,23.3,9.6,2422,299,336,711,598,345013,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2572,2175,361,72.0,28.8
3005,54,29,31350,7.3,12.6,2.7,1.5,20.0,12.5,12.9,3919,1074,1696,2389,1246,646572,-1111.1,-1111.1,-1111.1,71.0,-1111.1,28.6,84.8,20.8,7.8,3351,6712,846,73.4,54.2
1748,32,7,45570,7.0,11.1,4.3,1.7,21.9,30.2,21.4,5703,916,1015,3153,2894,53239355,75.3,66.8,25.5,-1111.1,-1111.1,25.4,85.4,23.3,5.0,7168,3025,573,52.7,28.5
1277,26,97,11331,3.7,7.3,3.5,2.2,15.8,16.6,10.6,1441,652,394,673,683,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.0,1682,2033,346,70.6,44.1
469,13,171,16378,9.4,13.5,7.3,0.8,17.0,27.5,12.7,3131,509,615,993,845,76226,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2403,1950,518,48.8,18.3
1701,31,99,6774,7.5,10.6,1.8,1.5,12.8,28.0,-1111.1,536,113,125,415,248,15428,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,25.9,76.9,14.4,5.5,682,1041,138,29.5,44.3
360,12,86,2376014,8.1,11.9,3.5,3.2,11.0,16.1,9.1,501292,48143,1474332,124730,124789,827832,80.8,78.0,41.9,38.9,45.8,34.6,79.0,24.2,8.1,485473,287005,34348,111.5,47.1
1360,27,97,32788,6.0,9.3,2.7,2.2,9.5,24.5,15.3,4397,953,459,1788,1807,465366,83.1,-1111.1,-1111.1,-1111.1,-1111.1,20.1,72.0,22.7,7.0,3807,4838,690,64.0,30.5
1594,29,229,18306,6.4,10.2,6.7,1.2,13.0,35.5,12.1,3496,522,574,1186,855,45655,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,32.5,91.2,-1111.1,8.1,3456,3277,861,27.3,32.8
933,20,95,8165,7.2,8.2,4.8,2.6,14.6,42.8,11.8,851,187,136,518,402,13,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,26.9,86.8,-1111.1,9.3,937,1540,139,0.0,49.0
2612,48,183,115649,7.8,14.3,5.7,1.2,17.1,23.9,18.4,15260,2993,2768,5981,4945,624853,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,27.9,77.0,28.9,9.3,18617,17194,2827,89.1,62.3
1122,22,23,9558,8.9,15.5,6.7,1.7,11.0,20.2,-1111.1,2027,266,272,515,530,30584,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.5,1408,774,126,10.5,10.5
863,19,153,401006,6.8,11.9,2.8,1.6,10.0,10.6,11.3,31298,9932,5232,22249,14321,891577,88.1,81.1,48.0,72.4,76.5,21.3,82.8,21.8,6.5,34335,41609,6931,74.3,53.1
2905,51,183,12071,10.0,16.8,6.9,1.3,21.1,28.7,15.2,3644,290,347,731,598,15,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1486,1836,417,8.3,8.3
1765,33,7,33655,5.4,8.4,3.2,1.4,9.7,15.6,18.5,5586,695,897,1936,2252,838888,80.6,77.3,42.2,55.1,60.6,28.0,73.1,28.7,7.3,3379,6192,1228,109.9,29.7
764,18,139,17823,7.0,11.0,3.8,1.0,17.1,23.2,9.2,2426,456,870,1175,729,13101,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4.3,1584,2545,362,50.5,16.8
1699,31,95,7925,6.8,11.5,4.4,0.9,18.8,25.6,-1111.1,894,167,129,503,289,1949654,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,33.2,81.2,21.6,7.4,885,1806,196,63.1,63.1
2672,48,303,252284,10.3,16.9,6.5,1.2,22.6,19.6,12.8,32092,5562,4956,13139,12201,239988,84.4,80.0,43.3,67.9,62.5,26.7,75.6,32.1,8.4,46251,26339,4399,118.1,40.4
699,18,9,13849,7.4,11.1,5.9,0.7,14.5,17.8,10.2,1775,487,481,947,580,62907,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.0,1232,2159,336,50.5,21.7
1338,27,53,1119364,6.8,10.0,2.5,3.5,16.7,8.1,8.5,71077,25255,12021,61382,58788,939137,84.5,84.4,62.3,75.5,79.9,14.8,73.4,20.1,4.3,97558,120397,17279,145.0,75.2
1639,30,87,9212,7.3,13.3,6.7,1.8,29.0,49.1,16.2,868,239,166,605,486,12539757,78.1,68.3,37.3,68.7,73.8,26.9,79.5,24.6,7.4,1958,952,170,54.3,65.1
1409,28,21,11492,13.0,18.4,10.3,1.7,26.8,34.0,-1111.1,1775,470,326,651,663,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,32.3,-1111.1,-1111.1,7.7,2261,1070,367,17.4,17.4
1728,31,153,139371,7.1,11.3,1.4,1.8,12.6,9.4,10.9,5727,2388,2701,7970,5417,5303,84.8,86.9,45.6,70.7,76.1,18.9,81.2,20.3,5.4,9961,7815,1022,86.1,42.3
2154,40,51,49369,6.7,14.3,4.4,0.8,20.5,26.8,15.6,6581,1036,1375,3004,2284,67007,81.6,76.4,37.4,73.4,78.7,29.6,83.9,26.5,6.9,7191,5349,929,40.5,20.3
1810,35,31,71918,9.0,16.4,6.4,3.0,41.7,53.2,19.8,13386,2049,2569,3958,4581,603198,81.8,78.6,19.7,-1111.1,-1111.1,22.4,72.0,17.9,10.4,25653,5273,1099,86.2,37.5
2549,48,57,20606,6.6,12.8,10.3,0.8,17.8,32.7,9.9,4062,563,463,1055,852,17657780,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,17.0,-1111.1,-1111.1,9.3,4121,2672,363,72.8,19.4
3018,54,55,61589,9.9,15.1,5.2,0.7,22.7,20.2,18.5,12224,1195,4140,4640,2537,43830,77.3,74.8,38.3,71.9,70.3,29.3,78.8,35.7,12.6,8695,10655,3614,68.2,39.0
524,13,283,6753,9.6,11.3,9.2,1.1,10.2,33.9,-1111.1,1652,205,271,404,357,-2222,90.4,-1111.1,-1111.1,-1111.1,-1111.1,27.8,-1111.1,-1111.1,11.2,1336,777,277,29.6,29.6
365,12,95,1023023,9.5,15.1,3.6,2.6,13.3,17.3,9.9,119058,19843,32289,52803,54345,8865738,83.4,75.6,52.9,64.3,59.3,25.9,78.3,23.6,7.2,157645,91188,19222,90.5,34.1
508,13,251,15430,11.0,13.0,8.4,1.1,24.3,32.1,12.4,3256,392,514,911,808,944,82.8,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,12.7,2731,1985,481,25.9,25.9
1434,28,71,40842,10.4,13.5,4.8,1.7,14.7,25.1,9.7,4894,1092,1207,2512,2654,12279,85.9,76.7,-1111.1,-1111.1,-1111.1,20.4,82.3,24.2,6.8,5493,3234,953,80.8,29.4
3045,54,109,24479,8.5,12.4,4.6,0.9,15.9,37.2,11.1,6269,452,2399,1848,1000,114187,81.9,-1111.1,-1111.1,-1111.1,-1111.1,38.2,85.1,40.2,10.5,4316,3322,2276,20.4,24.5
2959,53,15,97325,5.5,8.9,4.3,1.6,-2222.2,12.5,14.8,10857,3161,2717,5811,6361,2633920,79.0,-1111.1,46.6,66.7,76.3,19.5,73.4,28.0,8.0,12393,12810,2638,81.2,37.0
277,8,69,271927,7.7,11.1,2.5,2.9,19.7,14.9,15.4,13286,7180,5820,19644,23186,640615,84.9,86.0,54.9,75.4,76.6,13.6,75.8,18.4,3.5,33688,25197,3351,91.2,55.5
329,12,23,64040,9.2,14.3,5.5,1.3,22.9,32.3,12.6,10688,983,3071,3400,3436,70,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,30.4,-1111.1,-1111.1,10.4,9336,7749,2132,43.7,25.0
1097,21,213,17021,8.3,12.8,6.6,1.2,24.0,24.7,14.9,2995,507,727,1098,928,878243,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,31.2,70.6,-1111.1,6.5,1991,2073,450,52.9,41.1
1073,21,165,6809,8.7,11.7,8.6,1.2,20.1,40.2,-1111.1,1952,216,493,451,390,-2222,84.7,-1111.1,-1111.1,-1111.1,-1111.1,39.5,87.2,31.4,10.8,1252,781,372,0.0,29.4
