,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Abbr,Population_Size,LBW,Premature,Under_18,Over_40,Late_Care,MVA,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,High_Blood_Pres,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,ALE
22,1,45,Dale,AL,48748,8.4,14.1,4.1,0.9,12.6,24.5,10.8,7021,828,1811,2655,2280,90996,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,30.4,79.5,-1111.1,12.1,7831,7809,2314,24.6,22.6,75.5
23,1,47,Dallas,AL,44366,11.6,17.6,9.1,1.1,30.5,27.7,8.4,8207,1260,2183,2378,2155,2011358,87.1,-1111.1,-1111.1,-1111.1,-1111.1,31.5,85.9,-1111.1,11.5,9242,6424,2302,101.4,38.3,72.1
24,1,49,DeKalb,AL,67271,9.1,15.8,5.5,0.9,22.0,30.3,10.9,16525,1414,2949,3790,3150,217675,84.8,-1111.1,-1111.1,-1111.1,-1111.1,37.0,80.7,35.3,7.8,12260,8411,2351,34.2,19.3,75.1
25,1,51,Elmore,AL,73937,8.6,14.2,4.8,1.5,13.3,19.0,8.5,10979,1091,2028,4170,3646,74339,90.3,-1111.1,-1111.1,-1111.1,-1111.1,27.7,85.0,23.0,5.5,8320,7792,2167,33.8,16.2,75.2
26,1,53,Escambia,AL,38082,11.2,16.9,6.0,1.5,21.3,29.1,11.0,8120,721,1763,2165,1834,2302304,85.6,-1111.1,-1111.1,-1111.1,-1111.1,34.3,87.1,-1111.1,11.4,6490,5064,1476,57.8,26.3,73.2
27,1,55,Etowah,AL,103189,8.5,13.6,5.9,1.0,19.1,21.8,15.7,18341,1982,4505,5897,4895,1619985,77.6,77.2,38.9,61.7,57.6,34.1,81.4,38.2,10.2,16180,15265,4508,72.7,42.6,73.5
28,1,57,Fayette,AL,18228,8.7,13.4,8.1,0.7,11.7,36.4,12.0,4298,315,931,1049,862,71686,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,12.7,2358,2544,731,60.3,16.5,73.9
29,1,59,Franklin,AL,30737,7.7,14.2,5.1,0.7,19.4,41.9,13.8,7922,664,1479,1742,1456,93630,85.0,-1111.1,-1111.1,-1111.1,-1111.1,28.9,85.5,-1111.1,7.2,5977,4871,1320,35.8,22.8,73.6
30,1,61,Geneva,AL,25735,7.7,11.9,7.2,0.6,19.4,34.8,13.3,6209,409,1293,1492,1218,161155,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.4,4759,4173,1118,35.0,15.5,74.7
31,1,63,Greene,AL,9661,13.4,18.9,9.5,1.5,37.0,41.9,15.0,2156,210,429,524,468,3448520,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.1,2384,1287,461,31.1,10.4,72.7
